distance_to_3_end	read_number
195	31.9538461538462
196	2
197	0
198	11.3384615384615
199	0
200	0
201	0
202	0
203	0
204	0.688888888888889
205	0
206	0
207	1.66666666666667
208	0
209	0
210	1.88888888888889
211	0
212	0
213	1.9
214	0.688888888888889
215	8.4251497005988
216	9
217	0
218	0
219	1.9
220	1.4
221	0
222	1
223	0
224	2.37407407407407
225	1.9
226	1.9
227	0
228	3.175
229	0
230	0
231	0
232	0
233	5.7
234	4.8873786407767
235	1.9
236	0
237	0
238	1.05063291139241
239	1.68181818181818
240	3.8
241	1.9
242	3.1
243	0
244	5.7
245	8.4251497005988
246	0
247	2.74090909090909
248	0.688888888888889
249	0
250	0
251	0
252	0
253	0
254	0
255	4.5
256	1.9
257	0
258	3.61607142857143
259	1.9
260	0
261	16.0864864864865
262	3.2
263	1.66666666666667
264	0
265	7.4
266	0
267	1.88888888888889
268	0
269	6.76666666666667
270	1.9
271	0
272	0.840909090909091
273	0
274	0
275	5.7
276	0
277	11.4
278	1.9
279	2.74090909090909
280	0
281	1.9
282	1.60606060606061
283	0
284	8.3
285	1.9
286	0
287	4.0188679245283
288	0
289	0
290	0
291	1
292	1.04444444444444
293	1.60606060606061
294	0
295	0
296	0
297	1.60606060606061
298	0
299	0
300	1.9
301	0
302	0
303	3.49494949494949
304	0
305	4.81818181818182
306	0
307	0
308	0
309	0.333333333333333
310	2.65050505050505
311	0
312	1.60606060606061
313	0
314	0
315	2.98106060606061
316	0
317	3.2
318	0.840909090909091
319	5.84895104895105
320	0
321	4.5
322	0
323	0
324	6.42424242424242
325	0
326	0
327	1
328	0
329	2.63682983682984
330	0
331	0
332	0
333	0
334	0.840909090909091
335	0
336	3.03076923076923
337	0
338	1.03076923076923
339	3.6
340	0
341	0
342	0
343	1
344	0
345	0
346	0
347	0
348	1
349	0
350	0
351	4
352	0
353	0.840909090909091
354	0
355	1.30821917808219
356	0
357	0.857142857142857
358	1.571470458877
359	0
360	0
361	1.5
362	0
363	0
364	0
365	0
366	4
367	13
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	1
378	0
379	0
380	1.66666666666667
381	0
382	3.8
383	0
384	1.5
385	0
386	0
387	0
388	0
389	0
390	1
391	3
392	0
393	0
394	0
395	1.4
396	0
397	1
398	0
399	0
400	0
401	4.84545454545455
402	3.8
403	0
404	0.521739130434783
405	0
406	0
407	0
408	0
409	2.60606060606061
410	0
411	0.616071428571429
412	0
413	0
414	0.840909090909091
415	1
416	0
417	0
418	4.8
419	3.8
420	2
421	0
422	0
423	7.6
424	13
425	0
426	0
427	0
428	1.2
429	0
430	0
431	0
432	0
433	0
434	2
435	0
436	0
437	1.18918918918919
438	4
439	1
440	2
441	0.840909090909091
442	0
443	0
444	0
445	7.6
446	0
447	1.04444444444444
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	1
458	0
459	0
460	0.337837837837838
461	0
462	0
463	3.8
464	0
465	0
466	0
467	1.08860759493671
468	10.5
469	1.3125
470	3.8
471	3.8
472	0
473	0
474	1
475	0
476	6.84615384615385
477	0
478	1.3125
479	0
480	1
481	0
482	0
483	2
484	0
485	0
486	1.00663716814159
487	0
488	1.9
489	0.25
490	0
491	1.5
492	0
493	0
494	0
495	0
496	1.01538461538462
497	0
498	0
499	1
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	5.03076923076923
512	0
513	4
514	0
515	0
516	0
517	0
518	0
519	4.5
520	0
521	0
522	0
523	0
524	0.5
525	0
526	1.3125
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0.421052631578947
538	2.74090909090909
539	1.9
540	0
541	0
542	0.840909090909091
543	0
544	1
545	0
546	0
547	0
548	8.5
549	9.5
550	0
551	0
552	0
553	0
554	0.333333333333333
555	0.337837837837838
556	0
557	0
558	0
559	0
560	0
561	1
562	0
563	2
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	2.09090909090909
573	0
574	0
575	0
576	0.333333333333333
577	0
578	0
579	0
580	1.66666666666667
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	2
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	1.9
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	1
608	2
609	0
610	1.61607142857143
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0.339622641509434
620	0
621	0
622	0
623	0
624	3
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	1.4
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	1.88888888888889
660	0
661	1.3125
662	1.0873786407767
663	0
664	0
665	0
666	16
667	0
668	2
669	0
670	1
671	0
672	16
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	1.17241379310345
687	0
688	0
689	0
690	0
691	0
692	0
693	1.05263157894737
694	0
695	0
696	0
697	0
698	0
699	0.420168067226891
700	0
701	0
702	1.4
703	0
704	0
705	0
706	1.0873786407767
707	0
708	2
709	0
710	0
711	0
712	0
713	2.09090909090909
714	8.36363636363636
715	4.18181818181818
716	8.36363636363636
717	6.27272727272727
718	0
719	1
720	0
721	0
722	1
723	0
724	0
725	0
726	4.18181818181818
727	0
728	0
729	0
730	0.953328757721345
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0.612903225806452
740	2.51764072178831
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0.612903225806452
749	0
750	0
751	0.340425531914894
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	1.3125
777	0
778	2
779	0
780	0
781	0
782	0
783	0
784	0
785	0
786	0.4
787	0
788	0
789	0.340425531914894
790	0
791	0
792	0
793	0
794	0
795	1
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	1
812	2.4
813	0
814	1.2258064516129
815	0
816	0
817	0
818	0
819	0
820	1.2258064516129
821	0
822	1.04444444444444
823	0
824	0.612903225806452
825	0
826	0
827	0
828	0.612903225806452
829	1.0873786407767
830	0
831	0.612903225806452
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0.612903225806452
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0.612903225806452
852	0.612903225806452
853	1.2258064516129
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	0.612903225806452
865	1
866	0
867	0
868	0
869	0
870	0
871	0
872	0
873	2
874	0
875	0
876	1.8332422088573
877	0
878	0
879	0
880	0
881	0.612903225806452
882	0
883	0
884	117.612903225806
885	0.612903225806452
886	0
887	0
888	0
889	0
890	0.612903225806452
891	0
892	0
893	1
894	0
895	0
896	1.54545454545455
897	0
898	0.612903225806452
899	0.612903225806452
900	8.58064516129032
901	0
902	0
903	0
904	1
905	1.2258064516129
906	0
907	0
908	0
909	0
910	0.612903225806452
911	0
912	0
913	0
914	2.80838323353293
915	0
916	0.612903225806452
917	1.83870967741935
918	1.04347826086957
919	2.80838323353293
920	0
921	0
922	0
923	0
924	0
925	0.612903225806452
926	0
927	0
928	1
929	0
930	0
931	0.666666666666667
932	7.83860759493671
933	0
934	0
935	0
936	1
937	0
938	1.08860759493671
939	0
940	0
941	0
942	0.612903225806452
943	1.70467902350814
944	0
945	0
946	0
947	0
948	0
949	0
950	1.08860759493671
951	0
952	0
953	0
954	0
955	1
956	0.284615384615385
957	0
958	0.612903225806452
959	0
960	0
961	0
962	0
963	0
964	0
965	0.612903225806452
966	0
967	0
968	0.675675675675676
969	0
970	0
971	0.631578947368421
972	0
973	0
974	0
975	1.38461538461538
976	0.340425531914894
977	0
978	0
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	0
987	0.612903225806452
988	0
989	0
990	0
991	0
992	0.612903225806452
993	0
994	0
995	0
996	0
997	0.612903225806452
998	1.83870967741935
999	0
1000	0
1001	1
1002	0
1003	0
1004	1
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	0
1014	0
1015	0
1016	0
1017	0.612903225806452
1018	0
1019	0.612903225806452
1020	0
1021	0
1022	0
1023	0
1024	1.04347826086957
1025	8.4251497005988
1026	0
1027	0
1028	2.80838323353293
1029	1.2258064516129
1030	0
1031	1.08860759493671
1032	0
1033	1.0188679245283
1034	1.2258064516129
1035	0
1036	0
1037	0
1038	0.612903225806452
1039	0
1040	0.284615384615385
1041	0.538461538461538
1042	0
1043	0
1044	0
1045	0
1046	0
1047	0
1048	0
1049	0
1050	0
1051	0
1052	0.612903225806452
1053	0
