distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0.590909090909091
37	0
38	0
39	0
40	0
41	1.18181818181818
42	0
43	1.18181818181818
44	0.590909090909091
45	0
46	0
47	0
48	0
49	2
50	119
51	357
52	179.528571428571
53	63.6142857142857
54	0
55	59.5
56	63.0696594427245
57	0
58	6
59	1.02857142857143
60	0
61	1.02857142857143
62	0
63	0
64	19.8164502164502
65	9.11248751248751
66	44.4615384615385
67	8.08391608391608
68	5.08117372823255
69	13.1258741258741
70	1.66666666666667
71	1.02857142857143
72	4.04195804195804
73	8.08391608391608
74	15.4545454545455
75	0
76	13.1544455544456
77	4.02857142857143
78	1.06451612903226
79	0
80	1.07792207792208
81	0
82	7.14285714285714
83	5.04195804195804
84	8.08391608391608
85	0.99375
86	0.392156862745098
87	1.02786377708978
88	0
89	1.02857142857143
90	3.33333333333333
91	2
92	4.86735486735487
93	0.513931888544892
94	5.07052947052947
95	0
96	5.06982181904783
97	1.54179566563467
98	16.1678321678322
99	4.04195804195804
100	4.94477881939182
101	4.04195804195804
102	1.54250331711632
103	8.08391608391608
104	8.59784797246098
105	9.75058275058275
106	1.66666666666667
107	5.6625
108	4.04195804195804
109	2.05714285714286
110	0
111	1.02857142857143
112	0
113	32.3356643356643
114	5.02272727272727
115	0
116	1
117	24.1547987616099
118	1
119	0.925925925925926
120	4.04195804195804
121	5.61338661338661
122	0
123	4.04195804195804
124	4.04195804195804
125	0
126	11.1204128688649
127	12.1982017982018
128	12.1258741258741
129	4.04195804195804
130	99.006993006993
131	11.1117798610059
132	2
133	0.513931888544892
134	3.74547511312217
135	28.4334080779901
136	24.2517482517482
137	1.02857142857143
138	0
139	0
140	2
141	15.1258741258741
142	34.3356643356643
143	0
144	0
145	0
146	3.98076923076923
147	4.04195804195804
148	0
149	8.08391608391608
150	2.05714285714286
151	4.04195804195804
152	4.04195804195804
153	0
154	0
155	12.1258741258741
156	8.08391608391608
157	4.04195804195804
158	16.1678321678322
