distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	36.96
47	0
48	0
49	1
50	0
51	5.84931506849315
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	1.42465753424658
62	0
63	0
64	0
65	0
66	35.4550128534704
67	8.86375321336761
68	0
69	13.2956298200514
70	0
71	0
72	22.159383033419
73	26.5912596401028
74	0
75	0
76	44.6159656027481
77	4.4318766066838
78	0
79	4.4318766066838
80	0
81	0
82	5.4318766066838
83	0
84	0
85	0
86	2
87	0
88	0
89	0.712328767123288
90	0
91	0
92	0
93	0
94	4.4318766066838
95	0
96	4.4318766066838
97	0
98	0
99	0
100	0
101	1.66666666666667
102	0
103	4.4318766066838
104	13.2956298200514
105	1.5
106	4.4318766066838
107	0
108	4.4318766066838
109	0
110	0.712328767123288
111	1
112	0
113	17.7275064267352
114	0
115	4.4318766066838
116	0
117	1.08450704225352
118	0
119	0
120	0
121	0
122	0
123	4.4318766066838
124	0
125	4.4318766066838
126	8.86375321336761
127	5.14420537380709
128	1.7
129	0
130	132.956298200514
131	4.4318766066838
132	0
133	0
134	0
135	8.86375321336761
136	57.6143958868895
137	1
138	0
139	0
140	8.86375321336761
141	4.4318766066838
142	22.159383033419
143	1
144	0
145	35.7522123893805
146	36.3236409608091
147	0
148	4.4318766066838
149	8.86375321336761
150	0
151	0
152	4.4318766066838
153	0
154	8.86375321336761
155	8.86375321336761
156	1.08450704225352
157	1
158	8.86375321336761
159	2.88134285163033
160	14.7956298200514
161	0
162	0
163	2.16901408450704
164	4.4318766066838
165	4.4318766066838
166	26.5912596401028
167	0
168	4.4318766066838
169	8.86375321336761
170	0
171	0.75
172	0
173	0
174	1.75
175	0
176	1.75
177	0
178	6.1818766066838
179	4.4318766066838
180	0
181	5.9318766066838
182	4.4318766066838
183	0
184	0
185	0
186	0
187	0.363636363636364
188	0
189	0
190	0
191	0
192	0
