distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	1
50	0
51	1.93123543123543
52	1.28571428571429
53	0.631578947368421
54	0
55	1
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0.333333333333333
67	3
68	1
69	0.5
70	0
71	1.63636363636364
72	1.63636363636364
73	0
74	0.5
75	27.5
76	58.3
77	0
78	6.3
79	0
80	15.9
81	360
82	0
83	3.28571428571429
84	0
85	6.77922077922078
86	4.90909090909091
87	0.724137931034483
88	0
89	0
90	0
91	0
92	2.88636363636364
93	1
94	0
95	0
96	1.63636363636364
97	0
98	3
99	0
100	0
101	0
102	0
103	1
104	0
105	7.03463203463204
106	2.33116883116883
107	1.93123543123543
108	0
109	0
110	3.43369318939091
111	13.6818181818182
112	0
113	0.344262295081967
114	2.29487179487179
115	1.63636363636364
116	0.333333333333333
117	0
118	0
119	0
120	0
121	1.28571428571429
122	0
123	3.27272727272727
124	0
125	0.344262295081967
126	0
127	3.3030303030303
128	0
129	0
130	1.28571428571429
131	0.631578947368421
132	0
133	0.842105263157895
134	3.93939393939394
135	0
136	0
137	1.63636363636364
138	0
139	0
140	2.57142857142857
141	0
142	0
143	0
144	1.63636363636364
145	3.27272727272727
146	0
147	2.63636363636364
148	0.294871794871795
149	0
150	0
151	0
152	1
153	0.344262295081967
154	0
155	0
156	9.25
157	0
158	1
159	0
160	3.42014742014742
161	2.3030303030303
162	1.14285714285714
163	3.27272727272727
164	6.26829268292683
165	0
166	0
167	0
168	10
169	0
170	0
171	3.27272727272727
172	2.3030303030303
173	0
174	3.3030303030303
175	4.3030303030303
176	1
177	1
178	0
179	0
180	0
181	4.90909090909091
182	0
183	1.63636363636364
184	0
185	0
186	1
187	1.52272727272727
188	6
189	2
190	1.63636363636364
191	1.78125
192	1.63636363636364
193	5.27272727272727
194	0
195	37.2948717948718
